;Location;;;;;;;;;;;;;;;;
0,000759139;-145,05;-112,7836507;-85,05291567;102,9751024;112,6728594;83,69;-26,17636428;-160,69;-143,4004418;-69,43;-168,2359571;-153,2919219;-255,5196733;;;;
0,000780828;-138,33;-95,90940775;-81,71126082;115,4181883;116,6033824;103,67;-26,26327321;-149,01;-134,3107527;-56,02;-152,6570488;-138,8464683;-239,8943659;;;;
0,000802518;-130,28;-87,98213006;-77,09973543;121,8936402;126,9658512;109,80;-31,03438766;-135,33;-120,5417908;-42,39;-135,4000387;-126,0024687;-228,9134653;;;;
0,000824208;-122,45;-83,01144686;-62,14164354;114,701069;138,8990598;97,96;-38,46785506;-119,19;-107,5379686;-32,31;-116,6247619;-114,703622;-216,975314;;;;
0,000845898;-107,61;-79,73005025;-37,67204544;108,8461;152,1028334;81,51;-41,47446539;-105,64;-96,70323658;-25,32;-91,44591484;-101,7762831;-204,202733;;;;
0,000867587;-94,14;-81,56360192;-2,848518333;109,6246985;164,5528743;66,68;-41,07805716;-92,92;-84,86574416;-19,02;-65,70849347;-87,09633319;-180,4290644;;;;
0,000889277;-79,73;-86,56313391;31,80480536;123,5231685;177,5182697;60,07;-35,08183526;-80,00;-72,09888655;-12,83;-39,50768305;-69,56010641;-152,6155297;;;;
0,000910967;-79,32;-77,59691375;51,91738672;142,5508916;190,1853217;61,08;-27,42469252;-67,14;-59,53863053;-1,87;-18,57305168;-50,1282745;-119,3513755;;;;
0,000932656;-79,83;-65,81275251;58,00470061;152,0102562;200,0072969;82,29;-19,49154123;-54,20;-45,7266471;9,68;-0,213859049;-30,28888175;-86,99177287;;;;
0,000954346;-82,34;-53,15356943;58,72770509;151,953744;202,9972493;112,12;-14,91795795;-39,66;-30,73132775;21,26;14,34234638;-10,64933915;-55,90732851;;;;
0,000976036;-76,50;-41,15783051;52,03717267;140,9376949;199,8220345;145,15;-6,591008674;-22,18;-10,16996767;32,77;29,16515722;9,751625001;-27,66864462;;;;
0,000997725;-67,00;-29,41934314;48,24815285;114,9765534;193,366871;171,17;5,626141496;-1,94;10,39549755;47,05;45,13598995;30,75561759;-7,298428634;;;;
0,001019415;-50,48;-25,03239174;52,15300807;88,29616914;189,4034957;191,82;30,90750334;18,73;31,07259366;62,05;65,05115365;54,52621767;8,368110965;;;;
0,001041105;-31,25;-24,21111703;56,65677212;62,64912317;185,701023;198,51;57,105077;34,75;40,47052176;73,72;88,67937581;75,178304;13,63448772;;;;
0,001062794;-7,93;-26,9805382;59,91322816;35,61316497;181,1738706;198,92;77,83037018;43,60;46,97378682;86,40;113,992423;92,85576413;12,50277369;;;;
