;Depth Location;;;;;;;;;;;;
Distance on line [m];1,6;1,4;1,2;1;0,8;0,6;0,4;0,2;0;-0,2;-0,4;-0,6;-0,8
0,000723001;244,7890943;150,316173;150,316173;-31,4889555;-34,73534729;32,69171373;253,3358739;107,6629501;70,90609714;-263,9905204;-287,8985237;-381,062283;-404,1978641
0,00074491;250,5541529;148,2681089;148,2681089;-37,00074266;-31,52683148;32,947762;259,7047091;68,7810292;49,99991858;-242,6593115;-257,4528906;-360,6175071;-396,8165892
0,000766819;248,526576;145,208678;145,208678;-44,92982545;-26,53891199;37,97227405;253,3373301;34,5993859;28,47642849;-213,9564803;-232,5193836;-342,2948138;-383,147991
0,000788728;240,6031806;137,7542821;137,7542821;-53,30840329;-19,949387;47,4056369;243,2719512;21,54892321;13,77897653;-184,5044638;-212,1932349;-329,1980596;-363,6585596
0,000810637;230,8174095;124,094917;124,094917;-65,20635168;-15,48793211;62,23010477;230,3152863;23,49370201;3,977763006;-155,1849132;-194,5863381;-318,1387704;-346,8322456
0,000832546;217,990115;105,7811408;105,7811408;-80,13456018;-13,0095517;82,79297806;220,1388917;48,7827912;1,08418901;-133,5028217;-173,4752483;-298,3481593;-329,6326235
0,000854455;206,1047177;89,67932562;89,67932562;-89,31323522;-13,73759262;98,99512779;213,8816957;73,50691051;1,389007562;-113,8601372;-149,0416998;-273,0198413;-311,9029178
0,000876364;195,6303203;76,6671124;76,6671124;-94,86674223;-13,32600532;108,0578329;214,7160159;94,65908769;2,902166616;-99,54579488;-120,5299822;-242,2202374;-292,4094694
0,000898273;191,8284773;67,39683996;67,39683996;-98,87080387;-12,64916227;106,6961761;218,9128679;100,4326496;5,159281807;-90,5091145;-101,2404047;-215,0503151;-273,5501177
0,000920183;189,7358171;59,44541972;59,44541972;-103,8389634;-20,20294152;104,6616642;226,3558997;99,70375021;7,864987677;-83,80706167;-84,841778;-192,9004989;-254,708842
0,000942092;186,8317757;51,05521337;51,05521337;-109,2555474;-28,70513244;105,4833173;227,685725;89,61239929;10,62000426;-76,72504931;-69,75550415;-178,8234989;-233,0756488
0,000964001;179,3222311;43,26195249;43,26195249;-114,5089741;-38,09363115;111,372888;226,9870261;76,82994063;5,222012876;-64,565614;-56,40371135;-169,4092946;-211,1197075
0,00098591;167,3485618;37,04866677;37,04866677;-119,9695655;-47,78947901;121,5647103;223,8940863;63,37165911;-2,051095375;-50,07418527;-42,83754175;-161,3986456;-190,5706292
0,001007819;151,7938921;34,98136134;34,98136134;-128,4163206;-57,25818442;134,5402818;216,746553;52,28079223;-10,011509;-38,83552289;-34,58103979;-153,5658494;-169,3174495
0,001029728;133,1517618;33,90935887;33,90935887;-137,3635247;-64,88795856;138,0395513;206,880706;40,77604068;-20,72084658;-29,16538638;-30,95917293;-143,9927104;-147,9286087
0,001051637;110,9436661;34,06337673;34,06337673;-145,6615589;-72,56647393;137,9975401;190,085812;26,83888335;-30,51040449;-20,05401122;-32,33020137;-133,055206;-129,2157131
0,001073546;93,75309162;31,72851106;31,72851106;-156,8785274;-81,23481484;134,1466592;169,8270461;3,668420372;-39,87466023;-11,55947522;-38,87367431;-123,2585897;-115,1398101
0,001095455;78,90994085;22,10014477;22,10014477;-168,3742042;-92,28203969;127,9181288;147,1190047;-23,47784903;-48,46769098;-3,561127513;-46,88937079;-117,2759988;-104,7571594
0,001117365;66,08303444;4,552655106;4,552655106;-181,4634435;-101,8756806;121,0152744;123,4332336;-55,82351229;-56,00014595;-1,705610223;-56,83991243;-117,5080686;-92,90112301
0,001139274;54,14908338;-21,34630766;-21,34630766;-190,4635454;-110,7474511;115,284154;102,5310465;-83,08299151;-60,60371405;-5,823687615;-65,83183451;-127,2863205;-77,40464687
0,001161183;39,42729538;-48,04867296;-48,04867296;-196,471751;-110,3670359;106,9988652;85,77706961;-106,6210634;-66,26351408;-12,91490479;-74,89968133;-137,730529;-56,80336483
0,001183092;25,88528596;-75,35760789;-75,35760789;-201,9699024;-110,0860261;94,53865033;69,31346701;-121,6139132;-69,34328551;-22,63553133;-87,07488576;-143,2654361;-26,28355238
0,001205001;10,79017865;-95,41385458;-95,41385458;-204,3514378;-109,3630263;71,87176151;52,54224175;-138,21193;-69,53855065;-32,90245905;-99,35814722;-144,9647456;3,309085347
0,00122691;-11,28259999;-111,1926433;-111,1926433;-201,632626;-110,0855346;51,12007416;34,87234135;-154,7082845;-75,82088229;-42,62677376;-112,3651933;-145,5571539;27,28544417
0,001248819;-35,13809143;-111,8541384;-111,8541384;-196,5295805;-111,5648306;36,60106218;18,14889327;-178,1786768;-82,10413227;-54,78970404;-120,8225956;-149,2852227;43,88008715
0,001270728;-56,4754655;-110,4856827;-110,4856827;-192,6560206;-115,9091241;32,09278603;1,898352344;-201,5100669;-82,21138796;-68,33110915;-131,8212554;-152,191374;58,13182688
